2012-02-15 11:16:48 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:16:48 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:16:56 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:17:01 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:17:08 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:17:09 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:17:58 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:22:09 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:22:12 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:23:54 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:23:54 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:24:11 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:24:11 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:24:16 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:24:19 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:29:45 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:29:49 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:32:43 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:32:43 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:32:48 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:32:49 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 11:32:54 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
